source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,006596,"Topinambur, cotto, bollito",it,,cat3,100,g,10.6,1.6,0.1,52,crea-2019
crea,006600,"Pomodori, da insalata, freschi",it,,cat3,100,g,2.8,1.2,0.2,19,crea-2019
crea,006610,"Pomodori, maturi, freschi",it,,cat3,100,g,3.5,1,0.2,23,crea-2019
crea,006620,"Pomodori, San Marzano, freschi",it,,cat3,100,g,3,1.1,0.2,21,crea-2019
crea,006630,"Pomodori, Nerina, verdi, freschi",it,,cat3,100,g,2.8,0.9,0.4,21,crea-2019
crea,006640,"Pomodori, Nerina, rossi, freschi",it,,cat3,100,g,2.8,1.1,0.4,21,crea-2019
crea,006650,"Pomodorini ciliegino, freschi",it,,cat3,100,g,7.2,1.1,0.4,37,crea-2019
crea,006660,"Pomodori, conserva",it,,cat3,100,g,20.4,3.9,0.4,100,crea-2019
crea,006670,"Pomodori, passata",it,,cat3,100,g,3,1.3,0.2,21,crea-2019
crea,006680,"Pomodori, pelati in scatola",it,,cat3,100,g,3,1.2,0.5,22,crea-2019
crea,006690,"Pomodori, succo",it,,cat3,100,g,3,0.8,0,16,crea-2019
crea,006800,"Basilico, fresco",it,,cat3,100,g,5.2,3.1,0.8,42,crea-2019
crea,006810,"Menta, fresca",it,,cat3,100,g,5.3,3.8,0.7,49,crea-2019
crea,006820,Pepe nero,it,,cat3,100,g,49,11.4,3.3,311,crea-2019
crea,006830,"Peperoncini piccanti, freschi",it,,cat3,100,g,3.8,1.8,0.5,30,crea-2019
crea,006840,"Prezzemolo, fresco",it,,cat3,100,g,0,3.7,0.6,30,crea-2019
crea,006850,"Rosmarino, fresco",it,,cat3,100,g,13.5,1.4,4.4,110,crea-2019
crea,006860,"Salvia, fresco",it,,cat3,100,g,15.6,3.9,4.6,132,crea-2019
crea,006990,"Vegetali misti, surgelati",it,,cat3,100,g,13.7,3.3,0.3,67,crea-2019
crea,007000,"Albicocche, fresche",it,,cat4,100,g,9.8,0.4,0.1,42,crea-2019
crea,007010,"Albicocche, disidratate",it,,cat4,100,g,80.6,5.6,1,356,crea-2019
crea,007020,"Albicocche, sciroppate",it,,cat4,100,g,16.1,0.4,0.1,65,crea-2019
