source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,17-791,"Drinking chocolate powder, made up with skimmed milk",en,,Recipe. Made up according to packet directions.Calculated from 18g powder to 200ml milk PAA,100,g,10.9,3.7,0.7,62,cofid-2021
cofid,17-792,"Drinking chocolate powder, made up with whole milk",en,,Calculated from 18g powder to 200ml milk PAA,100,g,10.8,3.6,3.8,89,cofid-2021
cofid,17-793,"Egg nog, homemade",en,,Recipe QI,100,ml,9.6,4,2.3,98,cofid-2021
cofid,17-794,"Soup, French onion, homemade",en,,Recipe WAA,100,g,5,0.9,2.2,41,cofid-2021
cofid,17-795,"Soup, gazpacho, homemade",en,,Recipe WAA,100,g,2.9,0.8,3.6,46,cofid-2021
cofid,17-796,"Soup, goulash, homemade",en,,Recipe WAA,100,g,7.2,7.7,5.8,106,cofid-2021
cofid,17-797,"Guacamole, homemade",en,,Recipe WC,100,g,2.2,1.4,12.7,128,cofid-2021
cofid,17-798,"Halva, carrot, homemade",en,,Recipe SEC,100,g,44,4.8,16.6,354,cofid-2021
cofid,17-799,"Halva, semolina, homemade",en,,Recipe SEC,100,g,49.1,2.2,16.7,342,cofid-2021
cofid,17-800,"Hollandaise sauce, homemade",en,,Recipe WC,100,g,0.9,5.1,77.9,717,cofid-2021
cofid,17-801,"Horlicks powder, made up with semi-skimmed milk",en,,Recipe. Calculated from 25g powder to 200ml milk PAA,100,g,13.5,4.1,1.8,83,cofid-2021
cofid,17-802,"Horlicks powder, made up with skimmed milk",en,,Recipe. Calculated from 25g powder to 200ml milk PAA,100,g,13.5,4.1,0.6,72,cofid-2021
cofid,17-803,"Horlicks powder, made up with whole milk",en,,"Recipe, Calculated from 25g powder to 200ml milk PAA",100,g,13.3,4.1,3.5,98,cofid-2021
cofid,17-804,"Icing, fondant, homemade",en,,Recipe S,100,g,90.1,1.3,0,343,cofid-2021
cofid,17-805,"Icing, Royal, homemade",en,,Recipe SC,100,g,93.4,1.1,0,354,cofid-2021
cofid,17-806,"Lemon curd, homemade",en,,Recipe S,100,g,50.7,4.2,16,350,cofid-2021
cofid,17-807,"Lemonade, homemade",en,,Recipe PCC,100,g,16.7,0,0,63,cofid-2021
cofid,17-808,"Soup, lentil, homemade",en,,Recipe WAA,100,g,14.6,5.9,4.8,121,cofid-2021
